date,close,high,low,open,volume,ticker,daily_return,price_change,sma_7,sma_14,trend
2025-03-25,87471.703125,88542.3984375,86346.078125,87512.8203125,30005840049,BTC-USD,,-41.1171875,,,Downtrend
2025-03-26,86900.8828125,88292.15625,85861.453125,87460.234375,26704046038,BTC-USD,-0.00652577110204744,-559.3515625,,,Downtrend
2025-03-27,87177.1015625,87786.7265625,85837.9375,86896.2578125,24413471941,BTC-USD,0.003178549412391707,280.84375,,,Downtrend
2025-03-28,84353.1484375,87489.859375,83557.640625,87185.234375,34198619509,BTC-USD,-0.032393289916566204,-2832.0859375,,,Downtrend
2025-03-29,82597.5859375,84567.3359375,81634.140625,84352.0703125,16969396135,BTC-USD,-0.020812056603918605,-1754.484375,,,Downtrend
2025-03-30,82334.5234375,83505.0,81573.25,82596.984375,14763760943,BTC-USD,-0.0031848691098436133,-262.4609375,,,Downtrend
2025-03-31,82548.9140625,83870.125,81293.890625,82336.0625,29004228247,BTC-USD,0.0026038970780313253,212.8515625,84769.12276785714,,Downtrend
2025-04-01,85169.171875,85487.3671875,82429.359375,82551.921875,28175650319,BTC-USD,0.0317418810684309,2617.25,84440.18973214286,,Downtrend
2025-04-02,82485.7109375,88466.953125,82343.5390625,85180.609375,47584398470,BTC-USD,-0.031507420800550134,-2694.8984375,83809.45089285714,,Downtrend
2025-04-03,83102.828125,83909.296875,81282.1015625,82487.4765625,36852112080,BTC-USD,0.007481504135517403,615.3515625,83227.41183035714,,Downtrend
2025-04-04,83843.8046875,84696.1484375,81670.75,83100.25,45157640207,BTC-USD,0.008916382019940938,743.5546875,83154.6484375,,Downtrend
2025-04-05,83504.796875,84207.015625,82377.734375,83844.703125,14380803631,BTC-USD,-0.004043325726492686,-339.90625,83284.25,,Downtrend
2025-04-06,78214.484375,83704.71875,77097.7421875,83504.5078125,36294853736,BTC-USD,-0.06335339642726368,-5290.0234375,82695.67299107143,,Downtrend
2025-04-07,79235.3359375,81119.0625,74436.6796875,78221.3359375,91262424987,BTC-USD,0.013051950296130821,1014.0,82222.3046875,83495.71372767857,Downtrend
2025-04-08,76271.953125,80823.890625,76198.0234375,79218.4765625,48314590749,BTC-USD,-0.03739976334343409,-2946.5234375,80951.2734375,82695.73158482143,Downtrend
2025-04-09,82573.953125,83541.0,74589.671875,76273.5625,84213627038,BTC-USD,0.0826253916648998,6300.390625,80963.87946428571,82386.66517857143,Downtrend
2025-04-10,79626.140625,82700.9296875,78456.1328125,82565.9765625,44718000633,BTC-USD,-0.0356990599146636,-2939.8359375,80467.20982142857,81847.31082589286,Downtrend
2025-04-11,83404.8359375,84247.4765625,78936.3203125,79625.046875,41656778779,BTC-USD,0.04745546227457886,3779.7890625,80404.5,81779.57421875,Downtrend
2025-04-12,85287.109375,85856.1875,82769.375,83404.515625,24258059104,BTC-USD,0.022567917271733462,1882.59375,80659.11607142857,81971.68303571429,Downtrend
2025-04-13,83684.9765625,86015.1875,83027.0078125,85279.46875,28796984817,BTC-USD,-0.01878516957885823,-1594.4921875,81440.61495535714,82068.14397321429,Downtrend
2025-04-14,84542.390625,85785.0,83690.640625,83694.5234375,34090769777,BTC-USD,0.010245734631468162,847.8671875,82198.765625,82210.53515625,Downtrend
2025-04-15,83668.9921875,86429.3515625,83598.8203125,84539.6953125,28040322885,BTC-USD,-0.01033089354397465,-870.703125,83255.48549107143,82103.37946428571,Uptrend
2025-04-16,84033.8671875,85428.28125,83100.6171875,83674.5078125,29617804112,BTC-USD,0.004360934564412222,359.359375,83464.04464285714,82213.96205357143,Uptrend
2025-04-17,84895.75,85449.0703125,83749.75,84030.671875,21276866029,BTC-USD,0.01025637449930672,865.078125,84216.84598214286,82342.02790178571,Uptrend
2025-04-18,84450.8046875,85095.046875,84298.8828125,84900.1875,12728372364,BTC-USD,-0.005241078764249063,-449.3828125,84366.27008928571,82385.38504464286,Uptrend
2025-04-19,85063.4140625,85597.703125,84353.4609375,84450.8671875,15259300427,BTC-USD,0.007254038339443714,612.546875,84334.31361607143,82496.71484375,Uptrend
2025-04-20,85174.3046875,85306.3828125,83976.84375,85066.0703125,14664050812,BTC-USD,0.0013036230231544543,108.234375,84547.07477678571,82993.84486607143,Uptrend
2025-04-21,87518.90625,88460.09375,85143.8359375,85171.5390625,41396190190,BTC-USD,0.027527099529631727,2347.3671875,84972.29129464286,83585.52845982143,Uptrend
2025-04-22,93441.890625,93817.3828125,87084.53125,87521.875,55899038456,BTC-USD,0.06767662701452015,5920.015625,86368.41964285714,84811.95256696429,Uptrend
2025-04-23,93627.53125,94391.8203125,92145.6015625,93466.1171875,40539144192,BTC-USD,0.001986695942882921,161.4140625,87738.94308035714,85601.49386160714,Uptrend
